dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
Before Election,before_election,0,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,2,0.899389280732538
Before Election,before_election,1,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,2,0.7434254935716305
Before Election,before_election,2,"ছেলেটা দারুণ সাহসী। এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে,, বাহ -- লেগে থাক ভাই..",ছেলেটা দারুণ সাহসী এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে বাহ লেগে থাক ভাই,1,0.9422528881338034
Before Election,before_election,3,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,4,0.765869847172749
Before Election,before_election,4,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও! পাবনার দিকে,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও পাবনার দিকে,1,0.8652228914312398
Before Election,before_election,5,সাহসী নেতার সাহসী বাণী!,সাহসী নেতার সাহসী বাণী,3,0.7992238776333372
Before Election,before_election,6,"""১২ তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে। আর ও কোথায় থাকবে, তা জানা নেই।",তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে আর ও কোথায় থাকবে তা জানা নেই,0,0.4247199147433984
Before Election,before_election,7,"তারুণ্যের প্রথম ভোটটি হোক অন্যায়, দুর্নীতি, চাদাবাজি, ঋণ খেলাপির বিরুদ্ধে। ন্যায় সততা ও ইনসাফ এর পক্ষে, শিক্ষিত মার্জিত! একজন ভালো ব্যক্তির পক্ষে!",তারুণ্যের প্রথম ভোটটি হোক অন্যায় দুর্নীতি চাদাবাজি ঋণ খেলাপির বিরুদ্ধে ন্যায় সততা ও ইনসাফ এর পক্ষে শিক্ষিত মার্জিত একজন ভালো ব্যক্তির পক্ষে,2,0.5692707199758512
Before Election,before_election,9,নেতা এমনই হওয়া দরকার,নেতা এমনই হওয়া দরকার,0,0.5498597253406974
Before Election,before_election,10,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,3,0.5084033270019374
Before Election,before_election,11,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন।,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন,2,0.9463901502529785
Before Election,before_election,12,প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,0,0.9100304859841221
Before Election,before_election,13,"নৌকা গেছে যে পথে, ধানের শীষ যাবে সে পথে। নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ, দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ।",নৌকা গেছে যে পথে ধানের শীষ যাবে সে পথে নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ,0,0.7769109490304817
Before Election,before_election,14,সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,0,0.9545188064014936
Before Election,before_election,15,"দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক,, নয়তো বিএনপি-র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না",দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক নয়তো বিএনপি র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না,4,0.9376625097061805
Before Election,before_election,16,ক্ষমতা আসার আগেই এতো কিছু। ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,ক্ষমতা আসার আগেই এতো কিছু ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,1,0.9269859885244731
