period,doc_id,comment,sentiment,sentiment_confidence,sentiment_source,location_raw,location_rank,location
post_election_upto_forming_government,0,"""ওখানে ধরা খাবে তারপর সরকারিভাবে দেশের কারাগারে আসবে, দেশের আদালত মুক্ত করে দিবে। এটাই পলিটিক্স।""",positive,0.33130757780980896,model,Dhaka,1,Dhaka
post_election_upto_forming_government,1,"""এভাবেই ফেরত আসবে,এটাই পলিটিক্স""",negative,0.3267902335773661,model,Dhaka,1,Dhaka
post_election_upto_forming_government,2,দেশে পাঠানোর একটা বৈধ প্রক্রিয়া মাত্র...,negative,0.5937880726764063,model,Dhaka,1,Dhaka
post_election_upto_forming_government,3,এটা দেশে প্রবেশের একটি প্রক্রিয়া মাত্র,negative,0.7251837185679806,model,Dhaka,1,Dhaka
post_election_upto_forming_government,4,"""এখন থেকে প্রায়ই শুনা যাবে গ্রেফতারের খবর,,, ভারত সরকার এখন আর সাধারণ কর্মীদের তেমন গুরুত্ব দিবে না --- যারা পালিয়ে গেছে তাদের …""",positive,0.698965907232538,model,Dhaka,1,Dhaka
post_election_upto_forming_government,5,বাংলাদেশের জেল থাকতে অন্যদেশের জেলে থাকবে কেন..?,sarcastic_negative,0.4027959523353408,model,Dhaka,1,Dhaka
post_election_upto_forming_government,6,ভারত কি তাহলে আওয়ামী লীগের সাথে পল্টি নিলো,negative,0.46963669697432553,model,Dhaka,1,Dhaka
post_election_upto_forming_government,7,বিএনপির কাছে ভালো হওয়া আরকি।। তবে এরা ভিতরে ভালোই থাকবে কারণ ভারত হচ্ছে উমিচাঁদ এ…,negative,0.6146533429271961,model,Dhaka,1,Dhaka
post_election_upto_forming_government,8,আরও কিছু দেখার অপেক্ষায় রইলাম,negative,0.3616502789178571,model,ঢাকা,1,Dhaka
post_election_upto_forming_government,9,ধন্যবাদ জানাই,positive,0.6938366575905519,model,Tangail,1,Tangail
post_election_upto_forming_government,10,খাইছে রে..,sarcastic_negative,0.6567636689120354,model,মৌলভীবাজার,1,মৌলভীবাজার
post_election_upto_forming_government,11,এটা ভালো,positive,0.4756686019424283,model,Dhaka,1,Dhaka
post_election_upto_forming_government,12,সম্ভবত ওদের খরচ করার মতো টাকা পয়সা শেষ,positive,0.49114922720523013,model,রাজশাহী,1,Rajshahi
post_election_upto_forming_government,13,এগুলোকে এখন গ্রেফতার করবে আর আস্তে আস্তে সবগুলোকে বাংলাদেশ প্রেরণ করবে,positive,0.7010440422004439,model,Sylhet,1,Sylhet
post_election_upto_forming_government,14,"""হাসিনার তো ভিসা পাসপোর্ট কিছুই নেই, তবুও এখনো ভারতে আছে কীভাবে?""",negative,0.5252432396980984,model,Dhaka,1,Dhaka
post_election_upto_forming_government,15,তাদের আর শান্তি নাই,positive,0.7120557222686211,model,Dhaka,1,Dhaka
