dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
Before Election Some,before_election_some,0,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,লিডার চালিয়ে যান পুরো পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষেই আছি,2,0.899389280732538
Before Election Some,before_election_some,1,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,ভোট দিবো ধানের শীর্ষে চাঁদা তুলবো মিলেমিশে,2,0.7434254935716305
Before Election Some,before_election_some,2,"ছেলেটা দারুণ সাহসী। এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে,, বাহ -- লেগে থাক ভাই..
",ছেলেটা দারুণ সাহসী এতো জুতা খাওয়ার পরও নতুন নতুন বানী নিয়ে চলে আসে বাহ লেগে থাক ভাই,1,0.9422528881338034
Before Election Some,before_election_some,3,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,জনগণের ইচ্ছে যাকে খুশি তাকে ভোট দিবে দেশ টাকার বাবার না স্বৈরাচারের মতো ব্যবহার করে পরিপাশে আগস্টের মত শেখ হাসিনার মত হবে ইনশাআল্লাহ,4,0.765869847172749
Before Election Some,before_election_some,4,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও! পাবনার দিকে,এদেশের গর্ব তুমি ভাই আরও এগিয়ে যাও পাবনার দিকে,1,0.8652228914312398
Before Election Some,before_election_some,5,সাহসী নেতার সাহসী বাণী!,সাহসী নেতার সাহসী বাণী,3,0.7992238776333372
Before Election Some,before_election_some,6,"""১২ তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে। আর ও কোথায় থাকবে, তা জানা নেই।",তারিখের পর ওই এলাকার মানুষ ওকে খুঁজবে আর ও কোথায় থাকবে তা জানা নেই,0,0.4247199147433984
Before Election Some,before_election_some,7,"তারুণ্যের প্রথম ভোটটি হোক অন্যায়, দুর্নীতি, চাদাবাজি, ঋণ খেলাপির বিরুদ্ধে। ন্যায় সততা ও ইনসাফ এর পক্ষে, শিক্ষিত মার্জিত! একজন ভালো ব্যক্তির পক্ষে!",তারুণ্যের প্রথম ভোটটি হোক অন্যায় দুর্নীতি চাদাবাজি ঋণ খেলাপির বিরুদ্ধে ন্যায় সততা ও ইনসাফ এর পক্ষে শিক্ষিত মার্জিত একজন ভালো ব্যক্তির পক্ষে,2,0.5692707199758512
Before Election Some,before_election_some,9,নেতা এমনই হওয়া দরকার,নেতা এমনই হওয়া দরকার,0,0.5498597253406974
Before Election Some,before_election_some,10,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,বেশি লাফালাফি করলে দাঁড়িয়ে থাকতে পারবে না,3,0.5084033270019374
Before Election Some,before_election_some,11,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন।,চাঁদাবাজ মুক্ত সন্ত্রাস মুক্ত দূর্নীতি মুক্ত দেশ গড়তে দাঁড়িপাল্লায় ভোট দিয়ে জয়যুক্ত করুন ইনসাফের রাষ্ট্র গঠন করুন,2,0.9463901502529785
Before Election Some,before_election_some,12,প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,প্রতিহিংসার রাজনীতি না করি কিভাবে দেশে ভালো কিছু করা যায় সেভাবে কাজ করি,0,0.9100304859841221
Before Election Some,before_election_some,13,"নৌকা গেছে যে পথে, ধানের শীষ যাবে সে পথে। নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ, দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ।",নৌকা গেছে যে পথে ধানের শীষ যাবে সে পথে নৌকা আর ধানের শীষ লাঙ্গল দেখাও শেষ দাঁড়িপাল্লা গড়বে এবার সোনার বাংলাদেশ,0,0.7769109490304817
Before Election Some,before_election_some,14,সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,সব জায়গায় একই অবস্থা নির্বাচন বন্ধ করে দেওয়া হোক আমি লীগকে ঘুরিয়ে নিয়ে আনুক তারা বিপক্ষে কোন দলকে সাইট দেয় না হুমকি দিয়ে থাকে প্রতিটা ওয়ার্ড পর্দা থেকে একই অবস্থা,0,0.9545188064014936
Before Election Some,before_election_some,15,"দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক,, নয়তো বিএনপি-র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না",দল থেকে দেরকে আজীবনের জন্য বহিষ্কার করা হোক নয়তো বিএনপি র ইজ্জত মাঠে থেকে যাবে বাসায় নিয়ে ফিরতে পারবে না,4,0.9376625097061805
Before Election Some,before_election_some,16,ক্ষমতা আসার আগেই এতো কিছু। ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,ক্ষমতা আসার আগেই এতো কিছু ক্ষমতা আসার পর কি হবে একমাত্র আল্লাহ জানে,1,0.9269859885244731
Before Election Some,before_election_some,17,"দেশের জনগণ এখন সচেতন। জোরজবরদস্তির রাজনীতি এখন আর চলবে না মানুষ আদর্শবান নেতা চায়, যার হাতে নিরাপদ দেশ ও জাতি",দেশের জনগণ এখন সচেতন জোরজবরদস্তির রাজনীতি এখন আর চলবে না মানুষ আদর্শবান নেতা চায় যার হাতে নিরাপদ দেশ ও জাতি,1,0.9371894857563109
Before Election Some,before_election_some,18,এই বক্তব্য জামাতের কেউ দিলে রাকিব চাচা দল বল নিয়ে রাস্তায় নাইমে যাতো,এই বক্তব্য জামাতের কেউ দিলে রাকিব চাচা দল বল নিয়ে রাস্তায় নাইমে যাতো,4,0.8845656748593972
Before Election Some,before_election_some,19,বিএনপি আস্তে আস্তে আসল রূপে ফিরে আসতেছে,বিএনপি আস্তে আস্তে আসল রূপে ফিরে আসতেছে,3,0.7303206403798994
Before Election Some,before_election_some,20,"একবারে আওমী সন্ত্রাসীদের হুংকার দিয়ে ভোটারদের জিম্মি করতে চাই,এগুলো কে জনগন আর ভয় করে না।",একবারে আওমী সন্ত্রাসীদের হুংকার দিয়ে ভোটারদের জিম্মি করতে চাই এগুলো কে জনগন আর ভয় করে না,0,0.8845376720072405
Before Election Some,before_election_some,21,নব্য ফ্যাসিজম,নব্য ফ্যাসিজম,0,0.2
Before Election Some,before_election_some,22,ভালবাসা দিয়ে মানুষের মন জয় করতে হয় ভয় দেখিয়ে নয়,ভালবাসা দিয়ে মানুষের মন জয় করতে হয় ভয় দেখিয়ে নয়,0,0.8988185474246453
Before Election Some,before_election_some,23,ওকে দশটা জুতার বাড়ি দেওয়া হোক,ওকে দশটা জুতার বাড়ি দেওয়া হোক,0,0.8644863349837442
Before Election Some,before_election_some,24,দেন উনাকে ভাইরাল করে চান্দে উঠাইবেন,দেন উনাকে ভাইরাল করে চান্দে উঠাইবেন,4,0.7293503782164883
Before Election Some,before_election_some,25,এই পাগল ছাগলরা দলটাকে শেষ করে দিলো,এই পাগল ছাগলরা দলটাকে শেষ করে দিলো,3,0.7992873702805355
Before Election Some,before_election_some,26,এই সময় এই ধরনের শব্দ যেই করবে দল থেকে বহিষ্কার করা উচিৎ। আজকাল এই গুলো মানুষ ভয়পায়না।,এই সময় এই ধরনের শব্দ যেই করবে দল থেকে বহিষ্কার করা উচিৎ আজকাল এই গুলো মানুষ ভয়পায়না,3,0.6347415870262145
Before Election Some,before_election_some,27,এজন্যই ত জাতি এঁদের থেকে মুখ ফিরিয়ে নিয়েছে।,এজন্যই ত জাতি এঁদের থেকে মুখ ফিরিয়ে নিয়েছে,1,0.8652822317586268
Before Election Some,before_election_some,28,দম্ভ ধ্বংস হোক,দম্ভ ধ্বংস হোক,2,0.5976506170037809
Before Election Some,before_election_some,29,এরকম কিছু পাগল না থাকলে নির্বাচনীয় মাঠ গরম হয় না।,এরকম কিছু পাগল না থাকলে নির্বাচনীয় মাঠ গরম হয় না,3,0.7987853676704926
Before Election Some,before_election_some,30,ভোট দিবো কিশে ধানের শীষে,ভোট দিবো কিশে ধানের শীষে,2,0.8391559315985757
Before Election Some,before_election_some,31,আপনাদের জরিপটা সুন্দর লাগলো এটাই বাস্তব আর অন্যগুলোতে সবাই শক্ত অবস্থায় আছে সেখান থেকে কিছু সিট বিএনপি পাবে মোটামুটি,আপনাদের জরিপটা সুন্দর লাগলো এটাই বাস্তব আর অন্যগুলোতে সবাই শক্ত অবস্থায় আছে সেখান থেকে কিছু সিট বিএনপি পাবে মোটামুটি,3,0.9101982199476375
Before Election Some,before_election_some,32,ইনশাআল্লাহ ধানের শীষ আমি আসা করি বিএনপি ক্ষমায় আসলে বাংলাদেশ নতুন বাংলাদেশ হয়ে উঠবে আবার,ইনশাআল্লাহ ধানের শীষ আমি আসা করি বিএনপি ক্ষমায় আসলে বাংলাদেশ নতুন বাংলাদেশ হয়ে উঠবে আবার,1,0.5352022595123166
Before Election Some,before_election_some,33,যে মন পঞ্চগড় এক আসন বিএনপি ধানের শীষ জিতবে,যে মন পঞ্চগড় এক আসন বিএনপি ধানের শীষ জিতবে,0,0.5112349749337249
Before Election Some,before_election_some,34,কুমিল্লা নাঙ্গলকোট আসন বিএনপি বিশাল ভোটে জয় লাভ করবে,কুমিল্লা নাঙ্গলকোট আসন বিএনপি বিশাল ভোটে জয় লাভ করবে,4,0.8850680741115223
Before Election Some,before_election_some,35,পাগলের সুখ নাকি মনে মনে এই পাগলামি নির্বাচনের পরে কোথায় থাকবে আপনার,পাগলের সুখ নাকি মনে মনে এই পাগলামি নির্বাচনের পরে কোথায় থাকবে আপনার,3,0.7012268498587171
Before Election Some,before_election_some,36,আমাদের মুন্সিগন্জ জেলার ২ নং আসন লৌহজং ও টংগি বাড়ি এডভোকেট আব্দুল সালাম আজাদ ১০০% নিসচিত ইনশাআল্লাহ,আমাদের মুন্সিগন্জ জেলার নং আসন লৌহজং ও টংগি বাড়ি এডভোকেট আব্দুল সালাম আজাদ নিসচিত ইনশাআল্লাহ,1,0.8353359953772602
Before Election Some,before_election_some,37,এই খবর দেখে আপনারা বিএনপির ভাইরা আনন্দে গদ গদ ইয়েন না। ফলাফল ঘরে তোলা পর্যন্ত অতন্দ্র প্রহরীর মত ভোট কেন্দ্র পাহারা দিবেন ।সবার বড় দায়িত্ব মহিলাদের ভোট কেন্দ্রে নিয়ে ভোট দেয়ানো ।ভোট দেয়ার পর মহিলাদের সম্মানের সহিত বাড়িতে পৌছে দিতে হবে,এই খবর দেখে আপনারা বিএনপির ভাইরা আনন্দে গদ গদ ইয়েন না ফলাফল ঘরে তোলা পর্যন্ত অতন্দ্র প্রহরীর মত ভোট কেন্দ্র পাহারা দিবেন সবার বড় দায়িত্ব মহিলাদের ভোট কেন্দ্রে নিয়ে ভোট দেয়ানো ভোট দেয়ার পর মহিলাদের সম্মানের সহিত বাড়িতে পৌছে দিতে হবে,2,0.9609227829822957
Before Election Some,before_election_some,38,আপনার ধারণা অনেকটাই সত্য।,আপনার ধারণা অনেকটাই সত্য,1,0.730378398399707
Before Election Some,before_election_some,39,সঠিক মোট ২২০ পাবে,সঠিক মোট পাবে,4,0.7324382854193199
Before Election Some,before_election_some,40,লক্ষীপুর জেলায় কোন আসন না পেলেও লক্ষীপুর ৪ শতভাগ নিশ্চিত ইনশাআল্লাহ,লক্ষীপুর জেলায় কোন আসন না পেলেও লক্ষীপুর শতভাগ নিশ্চিত ইনশাআল্লাহ,4,0.838388678912977
Before Election Some,before_election_some,41,নোয়াখালী পাঁচ ফখরুল ইসলাম 100%,নোয়াখালী পাঁচ ফখরুল ইসলাম,2,0.8375588894902398
Before Election Some,before_election_some,42,হবিগঞ্জ সদর আছে নাম্বার ওয়ান আলকাত জি কে গোস বিপুল পুরে পাস হইবো বিপুল ভোটে,হবিগঞ্জ সদর আছে নাম্বার ওয়ান আলকাত জি কে গোস বিপুল পুরে পাস হইবো বিপুল ভোটে,4,0.9103457205264499
Before Election Some,before_election_some,43,কিসের বি এন পি পাবে ৪২০ আসন,কিসের বি এন পি পাবে আসন,4,0.8853266128665623
Before Election Some,before_election_some,44,তাহলে আর নির্বাচন দরকার কি।,তাহলে আর নির্বাচন দরকার কি,4,0.7980369721720385
Before Election Some,before_election_some,45,আপনার জরিপ আমার খুব পছন্দ হয়েছে তবে আরও বেশি আসন পাবে বিএনপি,আপনার জরিপ আমার খুব পছন্দ হয়েছে তবে আরও বেশি আসন পাবে বিএনপি,4,0.8844660389901495
Before Election Some,before_election_some,46,২৮ কুড়িগ্রাম ৪ বিএন পি জয় নিশ্চিত ইনশাআল্লাহ।,কুড়িগ্রাম বিএন পি জয় নিশ্চিত ইনশাআল্লাহ,4,0.8392546229366817
Before Election Some,before_election_some,47,চুয়াডাঙ্গা এক আসন জেলা বিএনপি ৭০% ভোটার এগিয়ে আছে চুয়াডাঙ্গা শরিফুজ্জামান শরীফ ভাই এমপি প্রার্থী হবে,চুয়াডাঙ্গা এক আসন জেলা বিএনপি ভোটার এগিয়ে আছে চুয়াডাঙ্গা শরিফুজ্জামান শরীফ ভাই এমপি প্রার্থী হবে,2,0.5135537413221309
Before Election Some,before_election_some,48,সময় টিভি কে জয় বাংলা করা হবে শনিবার দিন,সময় টিভি কে জয় বাংলা করা হবে শনিবার দিন,4,0.7987005030497494
Before Election Some,before_election_some,49,এত বড় গুনিনরা যখন গননা করে দিয়েছে তখন আর ভোটের দরকার কি? রাত থেকেই ফ্যামিলি কার্ড দেওয়া শুরু করে দিক।,এত বড় গুনিনরা যখন গননা করে দিয়েছে তখন আর ভোটের দরকার কি রাত থেকেই ফ্যামিলি কার্ড দেওয়া শুরু করে দিক,4,0.926405911571415
Before Election Some,before_election_some,50,এমন ততথো উঠে আসে সুধু সময় টিভিতে,এমন ততথো উঠে আসে সুধু সময় টিভিতে,1,0.8357213382767452
Before Election Some,before_election_some,52,মিডিয়া তো দেখছি ১দলিয় কাজ করছে,মিডিয়া তো দেখছি দলিয় কাজ করছে,1,0.7966672876913202
Before Election Some,before_election_some,53,বিএনপির ইশরাকের কর্মীরা রাতে ভোট দিতে গিয়ে জনতার কাছে ধরা। ভোটকেন্দ্র পাহারা দাও ছাত্র-জনতা।,বিএনপির ইশরাকের কর্মীরা রাতে ভোট দিতে গিয়ে জনতার কাছে ধরা ভোটকেন্দ্র পাহারা দাও ছাত্র জনতা,2,0.9459689032893506
Before Election Some,before_election_some,54,ইনশাআল্লাহ বিজয় আমাদের,ইনশাআল্লাহ বিজয় আমাদের,0,0.7294784291850409
Before Election Some,before_election_some,55,"ইনশাআল্লাহ ধানের শীষের বিজয় সুনিশ্চিত

",ইনশাআল্লাহ ধানের শীষের বিজয় সুনিশ্চিত,0,0.8658776545486354
Before Election Some,before_election_some,56,ইনশাআল্লাহ দাড়ি পাল্লা বিজয় হবে,ইনশাআল্লাহ দাড়ি পাল্লা বিজয় হবে,0,0.837573915604172
Before Election Some,before_election_some,57,"সবাই নাহিদ ভাইকেই দেয়া উচিৎ,,, বিএনপি আওয়ামিলীগ অনেকবার পাওয়ারে আসছে, জনগ উপর শুধু জুলুম করছে তারা,,আল্লাহ দেশের মানুষ কে হেফাজত করুক,, জালিমের হাত থেকে,,",সবাই নাহিদ ভাইকেই দেয়া উচিৎ বিএনপি আওয়ামিলীগ অনেকবার পাওয়ারে আসছে জনগ উপর শুধু জুলুম করছে তারা আল্লাহ দেশের মানুষ কে হেফাজত করুক জালিমের হাত থেকে,1,0.9372972935369572
Before Election Some,before_election_some,58,নাহিদ ভাই নিশ্চিত ১০০%,নাহিদ ভাই নিশ্চিত,1,0.7989755833717022
Before Election Some,before_election_some,60,"নতুন প্রজন্ম ভোট দিবে নাহিদ শাপলা কলি কে,,,কিন্তু পুরান আমলের মানুস ভোট দিবে ধানের শীষ",নতুন প্রজন্ম ভোট দিবে নাহিদ শাপলা কলি কে কিন্তু পুরান আমলের মানুস ভোট দিবে ধানের শীষ,0,0.3811806814417425
Before Election Some,before_election_some,61,কাইয়ুম জিতবে,কাইয়ুম জিতবে,0,0.5057589060157319
Before Election Some,before_election_some,62,শাপলা কলি,শাপলা কলি,0,0.7333272398171805
Before Election Some,before_election_some,63,শাপলাকলি,শাপলাকলি,0,0.2
Before Election Some,before_election_some,64,এবার প্রথম ভোট ধানের শীষেই দেবো ইনশাআল্লাহ।,এবার প্রথম ভোট ধানের শীষেই দেবো ইনশাআল্লাহ,2,0.8840085515156367
Before Election Some,before_election_some,65,মোবাইলে কল দিয়ে ভোট চাচ্ছে এর মানে বুজতে হবে নির্বাচনে অবৈধ ভাবে টাকা করতেছে,মোবাইলে কল দিয়ে ভোট চাচ্ছে এর মানে বুজতে হবে নির্বাচনে অবৈধ ভাবে টাকা করতেছে,2,0.49795120264800957
Before Election Some,before_election_some,66,ইত্তেফাক গুটিকয়েক জামায়াত নিয়ে ভোটের জরিপ করে জনগণকে বিভ্রান্ত করার চেষ্টা করতেছে...!! আশাকরি আগামী ১২/০২/২০২৬ইং তাদের এই ভাঁওতাবাজির মুখোশ উন্মোচন হবে ইনশাআল্লাহ।,ইত্তেফাক গুটিকয়েক জামায়াত নিয়ে ভোটের জরিপ করে জনগণকে বিভ্রান্ত করার চেষ্টা করতেছে আশাকরি আগামী ইং তাদের এই ভাঁওতাবাজির মুখোশ উন্মোচন হবে ইনশাআল্লাহ,4,0.9264041112855131
Before Election Some,before_election_some,67,কতো পন্ডিত এখনও বলে নাহিদরে নাকি ঢাকা ১১ র অর্ধেক মানুষও চিনে না,কতো পন্ডিত এখনও বলে নাহিদরে নাকি ঢাকা র অর্ধেক মানুষও চিনে না,2,0.8992604495491205
Before Election Some,before_election_some,68,"মানুষকে টাকা দিয়ে যোর যবদস্তি করে কেনা যাইনা,,ব্যাবহার এবং ভালোবাসায় মুগ্ধ হয়ে যাই",মানুষকে টাকা দিয়ে যোর যবদস্তি করে কেনা যাইনা ব্যাবহার এবং ভালোবাসায় মুগ্ধ হয়ে যাই,1,0.8382623862277997
Before Election Some,before_election_some,69,আর কিছি লোক ধরে নিয়ে কথা বলেন,আর কিছি লোক ধরে নিয়ে কথা বলেন,3,0.8385634199194303
Before Election Some,before_election_some,70,ধানের শীষের বিজয় ইনশাআল্লাহ,ধানের শীষের বিজয় ইনশাআল্লাহ,0,0.8388117235482387
Before Election Some,before_election_some,71,ময়লা কোথায় ফালাতে হবে সেটাই জানেনা- ভোটের ভালো জায়গা খুঁজে পাবে কি করে!,ময়লা কোথায় ফালাতে হবে সেটাই জানেনা ভোটের ভালো জায়গা খুঁজে পাবে কি করে,4,0.8658439050730955
Before Election Some,before_election_some,72,নাহিদ ভাইয়ের বিজয় হবেই ইনশাআল্লাহ,নাহিদ ভাইয়ের বিজয় হবেই ইনশাআল্লাহ,0,0.5499975054258357
Before Election Some,before_election_some,73,আমার হাতপাখার কথা কেউ কয় না কে,আমার হাতপাখার কথা কেউ কয় না কে,2,0.5999886556134533
Before Election Some,before_election_some,74,শাফলা কলি,শাফলা কলি,0,0.5999902247891737
Before Election Some,before_election_some,75,বিজয় নিশ্চিত নাহিদ ভাই,বিজয় নিশ্চিত নাহিদ ভাই,1,0.8385015200526286
Before Election Some,before_election_some,76,দল নয় এক জন সৎ এবং যোগ্য ব্যাক্তি কে ভোট দিন ইন শাহ আল্লাহ্।,দল নয় এক জন সৎ এবং যোগ্য ব্যাক্তি কে ভোট দিন ইন শাহ আল্লাহ্,1,0.6022596161115902
Before Election Some,before_election_some,77,শাপলা কলি নাহিদ কে,শাপলা কলি নাহিদ কে,0,0.5500605459264006
Before Election Some,before_election_some,78,সুন্দর প্রতিবেদন প্রকাশ।,সুন্দর প্রতিবেদন প্রকাশ,0,0.7310723210560869
Before Election Some,before_election_some,79,ইনকিলাব জিন্দাবাদ,ইনকিলাব জিন্দাবাদ,2,0.733327758793783
Before Election Some,before_election_some,80,কাকি চাঁদাবাজির কথা বইলা বিএনপির পোন মারি দিছে,কাকি চাঁদাবাজির কথা বইলা বিএনপির পোন মারি দিছে,2,0.8362781392089046
Before Election Some,before_election_some,81,সাড়া বাংলাদেশ জাতীয়তাবাদী সন্ত্রাসী সংগঠন মানুকে ভয় দেখিয়ে ভোট সেন্টারে না যাওয়ার জন্য । গেলে হত্যার করা হবে এখনি সময় রুখে দিতে হবে,সাড়া বাংলাদেশ জাতীয়তাবাদী সন্ত্রাসী সংগঠন মানুকে ভয় দেখিয়ে ভোট সেন্টারে না যাওয়ার জন্য গেলে হত্যার করা হবে এখনি সময় রুখে দিতে হবে,0,0.4189971370962924
Before Election Some,before_election_some,82,ইত্তেফাক জামাতি মাল,ইত্তেফাক জামাতি মাল,0,0.7983530482825992
Before Election Some,before_election_some,83,কার সাথে কিসের তুলনা।কই কাইউম ভাই আরও কই গোপালভার,কার সাথে কিসের তুলনা কই কাইউম ভাই আরও কই গোপালভার,1,0.8663010972358697
Before Election Some,before_election_some,84,বাড্ডা নতুনবাজারসহ সর্বত্র কাইউমের যে চাদার মহরা চলে এর থেকে রক্ষা পেতে শাপলাকলির বিকল্প নাই,বাড্ডা নতুনবাজারসহ সর্বত্র কাইউমের যে চাদার মহরা চলে এর থেকে রক্ষা পেতে শাপলাকলির বিকল্প নাই,4,0.8646763450483405
Before Election Some,before_election_some,85,এসব লোক ধরে নিয়ে কথা বলতেছে আমরা জানি । বাড্ডাতে বিএনপি বেশী যখন সিটি কর্পোরেশন নির্বাচন হয়েছে তখন ও দেখছি ।,এসব লোক ধরে নিয়ে কথা বলতেছে আমরা জানি বাড্ডাতে বিএনপি বেশী যখন সিটি কর্পোরেশন নির্বাচন হয়েছে তখন ও দেখছি,3,0.9097310851815984
Before Election Some,before_election_some,86,ধানের শীষ,ধানের শীষ,0,0.7329351638949074
Before Election Some,before_election_some,87,"যত যাই বলো,বিজয় এবার দাঁড়িপাল্লার,",যত যাই বলো বিজয় এবার দাঁড়িপাল্লার,1,0.8838308081549157
