dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
After Election,after_election,0,জিলাপি আছে নাকি?,জিলাপি আছে নাকি,4,0.7282839516669727
After Election,after_election,1,"Anayet Ahamed: জি ভাই, পুরো ইফতারের সামগ্রী ছিল!!",anayet ahamed জি ভাই পুরো ইফতারের সামগ্রী ছিল,1,0.8996015340964069
After Election,after_election,2,দাঁড়িপাল্লার জয় হবে ইনশাআল্লাহ।,দাঁড়িপাল্লার জয় হবে ইনশাআল্লাহ,4,0.5447206819575915
After Election,after_election,3,"হ, ঈদের দিন আজ।",হ ঈদের দিন আজ,1,0.5990127104425327
After Election,after_election,4,সবার আগে বাংলাদেশ।,সবার আগে বাংলাদেশ,1,0.5991537749977103
After Election,after_election,5,ঢাকা ৪,ঢাকা,4,0.5995479852650908
After Election,after_election,6,ঢাকা ১৩,ঢাকা,4,0.5995479852650908
After Election,after_election,7,হাতিয়া ৬,হাতিয়া,4,0.596132218317603
After Election,after_election,8,গাজীপুর ৩,গাজীপুর,0,0.2
After Election,after_election,9,ভোট চুরির খবর অলরেডি পাওয়া যাচ্ছে। প্রশাসন নিরব ভূমিকা পালন করতাছে।,ভোট চুরির খবর অলরেডি পাওয়া যাচ্ছে প্রশাসন নিরব ভূমিকা পালন করতাছে,1,0.9194757230975603
After Election,after_election,10,দালাল নিউজ এগুলো কই??,দালাল নিউজ এগুলো কই,3,0.8381141459433962
After Election,after_election,11,দুর্নীতিবাজদের রুখে দাও।,দুর্নীতিবাজদের রুখে দাও,2,0.7321229587791902
After Election,after_election,12,দাঁড়িপাল্লায় ভোট দাও।,দাঁড়িপাল্লায় ভোট দাও,2,0.7985279174614677
After Election,after_election,13,"আপনার মূল্যবান ভোটটি, ইনসাফের বাংলাদেশ গড়ার লক্ষ্যে, দাঁড়িপাল্লায় দিন।",আপনার মূল্যবান ভোটটি ইনসাফের বাংলাদেশ গড়ার লক্ষ্যে দাঁড়িপাল্লায় দিন,2,0.5681135691780118
After Election,after_election,14,ইউরোপ-আমেরিকা-জাপান এক ই অক্ষ শক্তি।,ইউরোপ আমেরিকা জাপান এক ই অক্ষ শক্তি,3,0.5999831118862877
After Election,after_election,15,খেলা যে চলছে কোন লেভেলে!,খেলা যে চলছে কোন লেভেলে,0,0.8382339992632821
