dataset,dataset_slug,doc_id,raw_text,clean_text,dominant_topic,dominant_topic_prob
After Forming Government Data With Location,after_forming_government_data_with_location,0,[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...…,সন্দেহজনক লিঙ্ক সরানো হয়েছে,2,0.7999942239951214
After Forming Government Data With Location,after_forming_government_data_with_location,1,সত্যি হাসি পাই আদু ভাই রাকিবের দৌড় দেখে!,সত্যি হাসি পাই আদু ভাই রাকিবের দৌড় দেখে,4,0.9103274060972028
After Forming Government Data With Location,after_forming_government_data_with_location,2,"""শরীরের ওজন কমতেছে। এটা তো ভালো বিষয়, কষ্ট পাওয়ার কি আছে!!!",শরীরের ওজন কমতেছে এটা তো ভালো বিষয় কষ্ট পাওয়ার কি আছে,3,0.44135850079028716
After Forming Government Data With Location,after_forming_government_data_with_location,3,এটা আরো আনন্দের বিষয় এখানে কষ্টের কিছু নেই,এটা আরো আনন্দের বিষয় এখানে কষ্টের কিছু নেই,3,0.8388084644669966
After Forming Government Data With Location,after_forming_government_data_with_location,4,যদি তার জন্য আপনার পায়ে ব্যথা হয় তো তেল লাগান মালিশ করেন ব্যথা ভুলে যান।,যদি তার জন্য আপনার পায়ে ব্যথা হয় তো তেল লাগান মালিশ করেন ব্যথা ভুলে যান,4,0.8638663359409734
After Forming Government Data With Location,after_forming_government_data_with_location,5,এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি।,এগিয়ে জান লিডার পুরা পৃথিবী আপনার বিপক্ষে থাকলেও আমি পৃথিবীর পক্ষে আছি,4,0.8993023228729832
After Forming Government Data With Location,after_forming_government_data_with_location,6,আমাদেরও কষ্ট হয় যখন দেখি আপনি নিজের চিন্তা করে …,আমাদেরও কষ্ট হয় যখন দেখি আপনি নিজের চিন্তা করে,3,0.8659476099649724
After Forming Government Data With Location,after_forming_government_data_with_location,7,কেন ভাই আপনার দৌড়াতে মন চাইলে আপনি ও দৌড়াবেন জ্বালার কি আছে,কেন ভাই আপনার দৌড়াতে মন চাইলে আপনি ও দৌড়াবেন জ্বালার কি আছে,0,0.864278479469584
After Forming Government Data With Location,after_forming_government_data_with_location,8,আহা জমিদারের ফুত তুমি একটা গাড়ি কিনে দাও,আহা জমিদারের ফুত তুমি একটা গাড়ি কিনে দাও,1,0.8654371582044554
After Forming Government Data With Location,after_forming_government_data_with_location,9,আহারে জমিদারের পুতেরে একটু সুযোগ দে ভাই,আহারে জমিদারের পুতেরে একটু সুযোগ দে ভাই,1,0.882732036473363
