Comment,Location 1,Location 2,Location 3,sentiment_label,sentiment_confidence,sentiment_score,sentiment_source,prob_negative,prob_neutral,prob_positive,prob_sarcastic_negative,sentiment_probabilities_json
[সন্দেহজনক লিঙ্ক সরানো হয়েছে]...…,ঢাকা,Dhaka,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
"""ওখানে ধরা খাবে তারপর সরকারিভাবে দেশের কারাগারে আসবে, দেশের আদালত মুক্ত করে দিবে। এটাই পলিটিক্স।""",Dhaka,Gazipur,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
"""এভাবেই ফেরত আসবে,এটাই পলিটিক্স""",Dhaka,,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
দেশে পাঠানোর একটা বৈধ প্রক্রিয়া মাত্র...,Dhaka,Rajshahi,Gazipur,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
এটা দেশে প্রবেশের একটি প্রক্রিয়া মাত্র,Dhaka,Pabna,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
"""এখন থেকে প্রায়ই শুনা যাবে গ্রেফতারের খবর,,, ভারত সরকার এখন আর সাধারণ কর্মীদের তেমন গুরুত্ব দিবে না --- যারা পালিয়ে গেছে তাদের …""",Dhaka,,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
বাংলাদেশের জেল থাকতে অন্যদেশের জেলে থাকবে কেন..?,Dhaka,,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
এটা একটা রাজনৈতিক চাল হতে পারে,Panchagarh,,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
ভারত কি তাহলে আওয়ামী লীগের সাথে পল্টি নিলো,Dhaka,,,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
বিএনপির কাছে ভালো হওয়া আরকি।। তবে এরা ভিতরে ভালোই থাকবে কারণ ভারত হচ্ছে উমিচাঁদ এ…,Dhaka,Faridpur,,positive,0.58,0.39099999999999996,heuristic,0.10500000000000001,0.23100000000000004,0.58,0.08400000000000002,"{""negative"": 0.10500000000000001, ""neutral"": 0.23100000000000004, ""positive"": 0.58, ""sarcastic_negative"": 0.08400000000000002}"
আরও কিছু দেখার অপেক্ষায় রইলাম,ঢাকা,ব্রাহ্মণবাড়িয়া,Chittagong,neutral,0.74,-0.09999999999999999,heuristic,0.12,0.74,0.08,0.06,"{""negative"": 0.12, ""neutral"": 0.74, ""positive"": 0.08, ""sarcastic_negative"": 0.06}"
